priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
1,6,7,22.833333,158,4,4,0,0,11,1,11,1,451,35,2,0,0,1.200000,0.066667,0.000000,0.733333,0.076093,0.278864
1,0,5,0.000000,248,0,0,0,68,3,2,3,2,63,36,0,0,0,0.200000,0.066667,0.000000,0.066667,0.135657,0.130892
1,6,1,24.500000,62,5,5,61,16,24,4,24,4,554,101,1,0,0,0.933333,0.066667,0.133333,0.933333,0.045676,0.004729
0,4,4,17.750000,45,74,73,117,34,321,32,321,32,8120,796,0,0,0,1.600000,0.000000,0.200000,2.000000,0.126322,0.235612
0,1,3,4.000000,28,0,0,0,1,3,0,3,0,89,0,0,0,0,1.000000,0.200000,0.200000,1.400000,0.166738,0.008578
2,15,6,35.266667,60,0,0,11,6,76,7,76,7,2171,288,0,0,0,1.090909,0.181818,0.409091,0.954545,0.289578,0.038925
1,4,6,31.750000,243,3,3,0,0,58,10,58,10,1767,360,0,0,6,0.600000,0.133333,0.133333,0.666667,0.321132,0.206311
2,1,3,14.000000,665,2,2,53,10,80,12,80,12,2502,465,0,0,0,0.272727,0.045455,0.045455,0.136364,0.817144,0.038925
0,1,2,25.000000,433,0,0,0,20,1,0,1,0,13,0,0,0,2,1.000000,0.000000,0.200000,1.200000,0.188272,0.210995
0,1,7,23.000000,228,0,0,0,14,1,0,1,0,71,0,0,0,0,1.000000,0.000000,0.000000,0.600000,0.803987,0.150463
0,3,5,112.000000,59,0,0,0,13,27,3,27,3,1020,133,1,1,0,1.400000,0.000000,0.000000,1.400000,0.818418,0.244645
1,0,2,0.000000,240,9,9,19,416,36,35,36,35,1212,1188,0,0,0,0.266667,0.133333,0.000000,0.000000,0.050531,0.169907
2,4,7,17.500000,120,120,118,850,327,44,11,41,8,1234,264,3,0,0,1.000000,0.227273,0.045455,0.454545,0.449807,0.014017
0,1,5,10.000000,285,0,0,0,26,2,2,2,2,57,57,1,0,0,1.400000,0.000000,0.000000,0.400000,0.847544,0.470027
2,1,4,61.000000,137,42,41,113,35,1,1,1,1,46,46,2,0,0,0.636364,0.181818,0.000000,0.045455,0.056552,0.006428
0,4,5,60.750000,27,0,0,3,8,113,6,113,6,2866,120,0,0,0,2.200000,0.200000,0.000000,1.000000,0.479345,0.098930
0,5,9,14.200000,30,59,58,79,56,26,3,26,3,924,114,3,1,0,3.400000,0.400000,0.200000,3.800000,0.420230,0.958345
1,6,5,19.500000,54,3,3,10,46,21,4,21,4,655,77,1,0,0,1.066667,0.066667,0.066667,0.666667,0.506322,0.176261
1,2,7,12.500000,12,0,0,0,2,7,3,7,3,188,78,0,0,0,0.600000,0.133333,0.133333,0.533333,0.326800,0.036582
2,7,5,12.000000,75,1,1,6,1,4,0,4,0,153,0,2,1,0,0.818182,0.000000,0.000000,1.045455,0.097609,0.074392
0,3,5,36.000000,200,0,0,0,0,39,8,39,8,1099,176,1,0,0,2.200000,0.000000,0.000000,0.800000,0.731029,0.187088
1,1,5,44.000000,81,1,1,0,0,9,2,9,2,551,244,1,0,39,0.800000,0.000000,0.000000,0.333333,0.038138,0.011656
1,0,2,0.000000,5504,0,0,0,2,15,1,14,1,569,40,0,0,0,0.400000,0.000000,0.000000,0.066667,0.038970,0.130892
1,1,3,3.000000,296,8,8,0,0,20,8,20,8,560,185,0,0,25,0.133333,0.000000,0.000000,0.466667,0.084354,0.171128
